04KbJ,8/pR6/5ppk/8/2P4p/1P3P1P/P5P1/4rnBK w - - 0 43,g1f2 f1g3 h1h2 e1h1,879,80,95,1447,doubleCheck endgame hookMate mate mateIn2 short,https://lichess.org/dP1vkSDD#85,
04Kuz,3K4/p1p5/3k4/PP6/1n6/5B2/8/8 b - - 6 53,c7c5 a5a6 c5c4 b5b6 b4a6 b6a7,2306,88,70,44,advancedPawn crushing endgame long,https://lichess.org/r0Ys5rxe/black#106,
04KwW,r1b1k2r/pp4pp/1q2pp2/n7/2pPN3/2P1P2P/PP3PPR/1R1QKB2 w kq - 1 14,f1c4 a5c4 d1a4 b6c6 a4c6 b7c6,1542,74,97,2699,advantage hangingPiece long middlegame,https://lichess.org/02YV2FIh#27,Queens_Pawn_Game,Queens_Pawn_Game_Accelerated_London_System
04L0r,3r2k1/p4pp1/3q2r1/7p/7P/P1QP2P1/5P2/3RR1K1 w - - 3 26,a3a4 g6g3 f2g3 d6g3 g1h1 g3h3,2413,91,85,158,advantage endgame long sacrifice,https://lichess.org/CflSF06K#51,
04L6t,r3q1k1/5p1p/1QN3p1/1p3p2/4n3/4P3/P4PPP/3R2K1 w - - 0 27,b6b5 e4c3 c6e7 e8e7,1536,75,92,1065,crushing endgame fork short,https://lichess.org/5m7k01ju#53,
04LC0,8/4r3/2k2ppp/pR6/P4K1P/6P1/5P2/8 b - - 2 39,e7e5 b5e5 f6e5 f4e5,849,90,66,75,crushing endgame rookEndgame short,https://lichess.org/FfAbRtG1/black#78,
04LYr,2r2rk1/1p3ppB/p2p1b2/8/3q4/5R2/P5PP/1R1Q3K b - - 0 26,g8h7 f3h3 h7g8 d1h5 d4h4 h3h4 f6h4 h5h4,1361,74,95,2488,advantage clearance middlegame veryLong,https://lichess.org/8kBsDzrJ/black#52,
04LeD,r5k1/pp3r2/4Q3/3R4/7N/2P3P1/PP3q1P/6K1 w - - 1 34,g1h1 f2f1,1371,395,100,7,endgame mate mateIn1 oneMove,https://lichess.org/nO0f8g3Y#67,
04Lge,8/4b1pk/2R1P1qp/3p4/3P4/5P1P/4QP2/1rN4K w - - 5 43,h1h2 e7d6 h2h1 g6f5 f3f4 f5f4 e2c2 g7g6 h1g1 f4h2 g1f1 h2h3,1950,229,100,10,crushing endgame veryLong,https://lichess.org/hf6mhaoy#85,
04Lkb,8/kb2p3/p1np4/2n1qN1p/4P3/4QP1P/P5P1/1R5K b - - 2 34,e7e6 f3f4 e5f6 f5d6 f6d4 e3d4,1654,353,100,9,crushing long middlegame pin,https://lichess.org/5Pk4PnZh/black#68,
04LlM,8/8/k7/P7/2p1N1p1/6Kp/8/8 w - - 8 59,g3g4 h3h2 e4f2 c4c3,1347,76,85,80,advancedPawn crushing endgame knightEndgame master short,https://lichess.org/J77Gux1X#117,
04Lnq,r1bqk1nr/pppp1ppp/2n5/2b1P1B1/2B5/2P2N2/P4PPP/RN1QK2R b KQkq - 2 8,c5e7 d1d5 g8h6 g5h6,1741,74,93,1234,advantage opening short,https://lichess.org/R5lt2ZJK/black#16,Scotch_Game,Scotch_Game_Benima_Defense
04Lp0,r1br2k1/ppp2ppp/2n1p3/3q4/3P4/2Q2N2/PPP1BPPP/3R1RK1 b - - 0 12,d5a2 d4d5 e6d5 d1a1 a2a1 f1a1,2392,82,89,101,crushing long middlegame trappedPiece,https://lichess.org/7Mu9CGyH/black#24,French_Defense,French_Defense_Exchange_Variation
04Lt2,r2qr1k1/pp2bp1n/7Q/2pp4/8/1PNP1P1P/PP3P2/2KR2R1 b - - 2 17,g8h8 h6g7,887,102,74,44,mate mateIn1 middlegame oneMove,https://lichess.org/PvYV5WWg/black#34,Sicilian_Defense,Sicilian_Defense_Bowdler_Attack
04Lu6,8/8/5ppp/p1k5/P1P4P/3K4/6P1/8 b - - 0 37,g6g5 h4g5 f6g5 g2g4 c5b4 d3d4,1925,83,88,46,crushing defensiveMove endgame long pawnEndgame quietMove,https://lichess.org/pnyW63zO/black#74,
04M9L,4rrk1/p1pp1p2/1p4P1/8/8/P1P5/5qP1/R1KQ3R b - - 0 23,f2g2 d1h5 g2h1 h5h1,2444,84,82,372,advantage endgame quietMove short,https://lichess.org/B6RI4Oe6/black#46,
04MDt,8/5R2/p1r2bp1/5k1p/5P1P/4B1P1/3K4/8 w - - 2 49,e3d4 c6d6 d2e3 d6d4,1443,75,83,472,crushing endgame master pin short,https://lichess.org/i6Z7MF3V#97,
04MEU,1k1r3r/3b1pp1/Bp1p3p/p2Pp3/6P1/K1QP4/P6q/1R6 b - - 1 28,b8a7 c3c7 a7a6 c7b6,1197,125,81,48,mate mateIn2 middlegame sacrifice short,https://lichess.org/vFizGRSR/black#56,
04MM6,2K5/5r2/2kbR3/7p/3B2p1/6P1/3P1P1P/8 w - - 6 61,d4e5 f7f8 e6e8 f8e8,1582,76,96,8043,endgame mate mateIn2 short,https://lichess.org/FqUFqPdO#121,
04MT4,8/p5R1/7p/1pq1Bp1k/5P2/7P/P5PK/8 b - - 1 34,c5c4 g2g4 f5g4 h3g4 h5h4 e5f6,1280,87,100,80,endgame long mate mateIn3,https://lichess.org/qspyCaEo/black#68,
